data_point,predicted,difference,hit,
13,11.4096,1.59041,0,
12.2,11.4349,0.765113,1,
12.2,11.3112,0.888757,1,
14.4,10.4179,3.9821,0,
14.4,12.3412,2.05882,0,
15.6,13.1243,2.47567,0,
15.6,13.1298,2.47021,0,
15,13.3981,1.60189,0,
15,12.974,2.02598,0,
15,12.8301,2.16991,0,
13.9,12.9291,0.970942,1,
13.9,11.9801,1.91986,0,
13.3,11.8754,1.42462,0,
13.3,12.2467,1.0533,1,
13,11.3551,1.64495,0,
13,11.5588,1.44115,0,
12.8,11.9845,0.815508,1,
13,11.3077,1.69229,0,
13.3,11.5409,1.75909,0,
13,12.18,0.820023,1,
12.8,11.5019,1.29814,0,
13,11.4334,1.56659,0,
13,11.9417,1.05828,1,
13.3,11.3255,1.97451,0,
13.3,11.6828,1.61724,0,
13,12.2672,0.732805,1,
13.3,11.4881,1.81193,0,
13.3,11.7194,1.5806,0,
13,12.2083,0.791733,1,
13,11.4567,1.54332,0,
12.8,11.5472,1.25284,1,
13,11.2305,1.76946,0,
13,11.4053,1.59469,0,
12,12.1149,0.114861,1,
12.2,11.3783,0.821686,1,
12.8,10.6872,2.11281,0,
13.3,11.4339,1.86614,0,
13.3,12.2375,1.06252,1,
14.4,11.5721,2.82793,0,
14,12.2471,1.75289,0,
14.4,12.809,1.59102,0,
15.6,12.5211,3.07888,0,
15,13.1929,1.80709,0,
15.6,13.1622,2.4378,0,
15,13.079,1.92102,0,
15,13.0692,1.93078,0,
14.4,12.8301,1.56991,0,
13.3,12.6708,0.62919,1,
13.3,11.6819,1.61814,0,
12.8,11.6168,1.18317,1,
12.8,11.2638,1.53615,0,
12.2,11.2563,0.943727,1,
12.2,11.1304,1.06958,1,
11.7,10.2942,1.40576,0,
11.7,10.9371,0.76292,1,
11.1,10.709,0.390955,1,
10,10.1866,0.186578,1,
10.6,9.96416,0.635842,1,
10,9.69073,0.309273,1,
10,9.56216,0.437842,1,
10,9.43255,0.567449,1,
11.1,9.36822,1.73178,0,
11,10.4034,0.596612,1,
11.1,10.5741,0.525949,1,
11,10.0583,0.941742,1,
11.1,9.96347,1.13653,0,
10.6,10.3828,0.217227,1,
11,10.4224,0.577594,1,
10.6,9.95645,0.643552,1,
11,9.85053,1.14947,0,
11.1,10.3229,0.777148,1,
11.1,10.376,0.723971,1,
11.7,9.93014,1.76986,0,
12,10.898,1.10195,1,
12.2,10.85,1.34998,0,
13.3,11.0449,2.2551,0,
13.3,12.1652,1.1348,1,
15.6,11.6518,3.94823,0,
15,12.7608,2.23917,0,
15,13.4899,1.51007,0,
13.9,12.8301,1.06991,1,
12.8,11.9307,0.869305,1,
12.8,10.7946,2.00543,0,
11.7,11.4547,0.245275,1,
11.1,11.1764,0.0764008,1,
10.6,10.3909,0.209076,1,
10.6,10.1321,0.467936,1,
10,9.75742,0.242584,1,
10,9.6163,0.383697,1,
10,9.45063,0.549365,1,
8.3,9.38357,1.08357,0,
7.8,8.5754,0.775403,1,
8,8.34753,0.347534,1,
8.9,8.61212,0.287877,1,
8.9,8.63203,0.26797,1,
8.3,8.81123,0.511226,1,
8.9,8.87245,0.0275488,1,
9.4,8.97875,0.421252,1,
10,9.02795,0.972048,1,
11.7,9.08625,2.61375,0,
12.8,10.7531,2.04688,0,
12.8,12.1334,0.66663,1,
13.9,11.5903,2.30965,0,
14.4,12.0763,2.32371,0,
